param	n	pearson	p	sigma
ENVIRONMENTAL	7
Strain_MG1655   	589	-0.3665	3.095e-18	9.5424
Treatment_pH    	589	0.2394	5.037e-07	5.9736
Medium_LB_HOMOPIPES	589	0.2439	2.528e-07	6.0928
Treatment_KCl   	589	0.2439	2.528e-07	6.0928
Treatment_DMF   	589	0.3341	8.371e-15	8.5889
Treatment_biofilm	589	0.3554	5.212e-17	9.2111
Strain_BW25113  	589	0.3905	4.400e-21	10.2775
GENE	1265
gltI	589	-0.5413	3.533e-46	15.5989
nlpA	589	-0.5058	6.219e-39	14.2064
purL	589	-0.505	9.094e-39	14.1737
nadB	589	-0.4843	5.47e-35	13.4102
nadA	589	-0.4792	4.091e-34	13.2295
xanP	589	-0.4776	7.986e-34	13.1690
sstT	589	-0.4738	3.454e-33	13.0360
pstS	589	-0.4696	1.76e-32	12.8869
yhjE	589	-0.4668	5.143e-32	12.7881
argH	589	-0.4579	1.425e-30	12.4785
aroP	589	-0.4511	1.642e-29	12.2471
rhtB	589	-0.4502	2.255e-29	12.2169
iap	589	-0.4497	2.714e-29	12.1992
pstB	589	-0.4425	3.403e-28	11.9558
entD	589	-0.4329	9.090e-27	11.6339
molR_1	589	-0.4329	9.045e-27	11.6344
gltL	589	-0.4287	3.656e-26	11.4956
yiiF	589	-0.4267	7.033e-26	11.4301
tyrB	589	-0.4254	1.049e-25	11.3899
b3004	589	-0.4174	1.378e-24	11.1287
argR	589	-0.4157	2.328e-24	11.0749
solA	589	-0.4147	3.214e-24	11.0418
gltF	589	-0.414	4.019e-24	11.0187
purH	589	-0.412	7.420e-24	10.9554
gltK	589	-0.4083	2.315e-23	10.8370
essD	589	-0.4076	2.831e-23	10.8159
ycgX	589	-0.4074	3.041e-23	10.8085
thiD	589	-0.407	3.453e-23	10.7952
metF	589	-0.4068	3.712e-23	10.7876
pqqL	589	-0.4067	3.767e-23	10.7860
rspB	589	-0.4062	4.415e-23	10.7694
pliG	589	-0.4054	5.657e-23	10.7433
yddB	589	-0.4046	7.037e-23	10.7204
allE	589	-0.4031	1.112e-22	10.6721
yfjL	589	-0.4011	2.005e-22	10.6096
yqiC	589	-0.4003	2.586e-22	10.5826
alaA	589	-0.3976	5.654e-22	10.4991
phoU	589	-0.3976	5.653e-22	10.4991
argP	589	-0.3943	1.487e-21	10.3951
casD	589	-0.3943	1.475e-21	10.3960
metR	589	-0.3938	1.695e-21	10.3810
trpL	589	-0.3938	1.699e-21	10.3807
yddA	589	-0.3937	1.771e-21	10.3763
ygjV	589	-0.3935	1.890e-21	10.3692
ydeP	589	-0.3898	5.333e-21	10.2565
bglF	589	-0.3897	5.597e-21	10.2513
chbG	589	-0.3895	5.903e-21	10.2455
pstC	589	-0.389	6.836e-21	10.2294
bisC	589	-0.3878	9.437e-21	10.1942
ygeA	589	-0.3876	1.013e-20	10.1864
cyaA	589	-0.3873	1.080e-20	10.1793
rspA	589	-0.3871	1.154e-20	10.1721
malY	589	-0.3832	3.440e-20	10.0516
djlC	589	-0.3825	4.179e-20	10.0300
yfjT	589	-0.3817	5.211e-20	10.0055
cas1	589	-0.3815	5.457e-20	10.0003
ybfB	589	-0.3811	6.130e-20	9.9874
argA	589	-0.3787	1.195e-19	9.9128
yhfZ	589	-0.3785	1.249e-19	9.9078
argG	589	-0.3771	1.858e-19	9.8632
b0105	589	-0.377	1.872e-19	9.8623
yigF	589	-0.3764	2.195e-19	9.8444
ycgH_1	589	-0.3759	2.558e-19	9.8272
bluF	589	-0.3755	2.839e-19	9.8154
ynjI	589	-0.3749	3.339e-19	9.7971
appY	589	-0.3729	5.703e-19	9.7363
yfjM	589	-0.372	7.279e-19	9.7085
guaD	589	-0.3714	8.542e-19	9.6903
ybdL	589	-0.3712	8.872e-19	9.6859
zinT	589	-0.3712	8.913e-19	9.6854
casC	589	-0.3707	1.006e-18	9.6716
aaeR	589	-0.3705	1.082e-18	9.6632
yhjV	589	-0.3703	1.118e-18	9.6595
b1437	589	-0.3701	1.201e-18	9.6513
ycjD	589	-0.3698	1.282e-18	9.6439
ydeM	589	-0.3678	2.203e-18	9.5816
gspD	589	-0.3678	2.155e-18	9.5841
ssrA	589	-0.3677	2.263e-18	9.5785
ybfP	589	-0.3667	2.880e-18	9.5507
yidR	589	-0.3665	3.040e-18	9.5444
yfdX	589	-0.3664	3.178e-18	9.5393
ydbA_1	589	-0.3662	3.284e-18	9.5355
ygcE	589	-0.3662	3.319e-18	9.5343
ygiS	589	-0.3658	3.662e-18	9.5229
atoD	589	-0.3653	4.202e-18	9.5069
ycgH_2	589	-0.3646	5.036e-18	9.4859
mngB	589	-0.3644	5.288e-18	9.4803
fepA	589	-0.3642	5.568e-18	9.4743
yfdQ	589	-0.3642	5.594e-18	9.4737
yibA	589	-0.3638	6.149e-18	9.4627
yfeS	589	-0.3634	6.846e-18	9.4502
envY	589	-0.3629	7.699e-18	9.4365
yfaQ	589	-0.3624	8.848e-18	9.4203
yiaN	589	-0.3619	1.012e-17	9.4046
evgS	589	-0.3619	1.006e-17	9.4053
ilvB	589	-0.3617	1.047e-17	9.4005
yrhB	589	-0.3613	1.165e-17	9.3881
pheP	589	-0.3610	1.254e-17	9.3795
livM	589	-0.3604	1.478e-17	9.3602
ydfE	589	-0.3600	1.625e-17	9.3490
ycaN	589	-0.3599	1.672e-17	9.3456
dicB	589	-0.3594	1.916e-17	9.3296
yfjI	589	-0.3594	1.890e-17	9.3312
ygiD	589	-0.3593	1.920e-17	9.3294
yggP	589	-0.3582	2.570e-17	9.2950
yedX	589	-0.3581	2.617e-17	9.2928
yfdT	589	-0.3575	3.083e-17	9.2734
yiaT	589	-0.3572	3.261e-17	9.2668
trpS	589	-0.3569	3.540e-17	9.2571
yfjH	589	-0.3566	3.803e-17	9.2486
yqgD	589	-0.3566	3.851e-17	9.2471
yccS	589	-0.3557	4.759e-17	9.2220
yraJ	589	-0.3553	5.355e-17	9.2079
pgaB	589	-0.3550	5.768e-17	9.1991
ygaC	589	-0.3544	6.701e-17	9.1812
rhaA	589	-0.3543	6.813e-17	9.1792
psiE	589	-0.3541	7.122e-17	9.1739
ydiY	589	-0.3539	7.570e-17	9.1666
idnK	589	-0.3537	7.843e-17	9.1624
ybcY	589	-0.3532	8.883e-17	9.1475
yaiW	589	-0.3529	9.567e-17	9.1386
soxS	589	-0.3529	9.565e-17	9.1386
yhjC	589	-0.3523	1.106e-16	9.1212
ydaS	589	-0.3522	1.143e-16	9.1173
